,Agreement Date,Agreement Date-Answer,Anti-assignment,Audit Rights,Cap on Liability,Document Name,Effective Date,Effective Date-Answer,Exclusivity,Expiration Date,Expiration Date-Answer,Governing Law,Insurance,License Grant,Parties,Parties-Answer,Post-termination Services,Renewal Term,Revenue-Profit Sharing,Termination for Convenience
Agreement Date,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agreement Date-Answer,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
Anti-assignment,0,0,52,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Audit Rights,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Cap on Liability,0,0,0,1,37,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
Document Name,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective Date,34,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,0
Effective Date-Answer,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
Exclusivity,0,0,3,1,0,0,0,0,20,0,0,0,0,5,0,0,0,0,1,0
Expiration Date,0,0,1,0,0,0,8,0,0,45,0,0,0,0,0,0,0,5,0,2
Expiration Date-Answer,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0
Governing Law,0,0,1,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0
Insurance,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
License Grant,0,0,0,0,0,0,0,0,10,0,0,0,0,28,0,0,0,0,0,0
Parties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
Parties-Answer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0
Post-termination Services,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,21,0,1,1
Renewal Term,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,23,0,2
Revenue-Profit Sharing,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,2,0,21,0
Termination for Convenience,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,27
